total_time, time_load , time_process ,memory_usage, num_nodes, num_rows_training, num_rows_process, num_features,tool, process

5.7 GB
129.40087175369263,126.53029108047485,2.7172467708587646,151292,3,2000,10000000,100,spark,predict
125.46900153160095,122.75580215454102,2.537013292312622,144020,3,2000,10000000,100,spark,clustering
120.6221079826355,117.35048747062683,3.123706817626953,123161,3,2000,10000000,100,spark,predict
148.18411469459534,139.50103783607483,8.070117712020874,144016,3,2000,10000000,100,spark,clustering
123.12117385864258,119.7195315361023,3.2442896366119385,123376,3,2000,10000000,100,spark,predict
132.01455307006836,125.77971291542053,6.09756326675415,108024,3,2000,10000000,100,spark,clustering
128.4313461780548,123.89930510520935,4.260717391967773,79996,3,2000,10000000,100,spark,predict
126.6848783493042,122.2903254032135,4.045019626617432,190275,3,2000,10000000,100,spark,clustering
-------------------------------------------------------------------------------
8.8GB
216.83632159233093,212.54494547843933,4.025542259216309,172388,3,2000,18000000,100,spark,predict
210.85908007621765,204.58281874656677,5.777285575866699,36010,3,2000,18000000,100,spark,clustering
215.85621786117554,212.47450399398804,3.1095211505889893,151886,3,2000,18000000,100,spark,predict
235.85769033432007,232.32759952545166,3.319730043411255,78571,3,2000,18000000,100,spark,clustering
211.96519422531128,209.15631222724915,2.639127492904663,272198,3,2000,18000000,100,spark,predict
208.7444405555725,206.16824793815613,2.4235851764678955,359984,3,2000,18000000,100,spark,clustering
---------------------------------------------------------------------------------
8.8GB
212.5291109085083,207.6486692428589,4.536354064941406,82451,3,2000,15000000,120,spark,predict
208.9028344154358,205.57303881645203,3.1159987449645996,144068,3,2000,15000000,120,spark,clustering
217.3177182674408,210.98094081878662,5.90059757232666,82577,3,2000,15000000,120,spark,predict
210.61439418792725,208.0138509273529,2.402378797531128,301359,3,2000,15000000,120,spark,clustering
206.3246889950532,201.8392102443654,4.102749054322215,84687,3,2000,15000000,120,spark,predict
207.823941832507,205.53103530566221,2.124757522634235,315598,3,2000,15000000,120,spark,clustering
----------------------------------------------------------------------------------
5.7 GB
147.931964635849,143.40372586250305,4.1392436027526855,204566,3,2000,13000000,90,spark,predict
179.80168867111206,172.4188175201416,7.077902555465698,288000,3,2000,13000000,90,spark,clustering
141.31244707107544,136.84727907180786,4.070948362350464,82985,3,2000,13000000,90,spark,predict
172.5101170539856,167.92029333114624,4.189075708389282,258661,3,2000,13000000,90,spark,clustering
140.51788187026978,135.87930917739868,4.188631772994995,154827,3,2000,13000000,90,spark,predict
191.32048773765564,175.7189223766327,15.321666955947876,35996,3,2000,13000000,90,spark,clustering






----------------------------------------------------------------------------------------
Test results
117.84957528114319,113.5263843536377,3.9126269817352295,380497,3,2000,10000000,80,spark,predict
141.46505284309387,135.78141355514526,5.043664455413818,201396,3,2000,10000000,80,spark,predict
159.24462032318115,154.6221797466278,4.392729043960571,153446,3,2000,12000000,100,spark,predict
75.1094925403595,70.68390583992004,4.149266719818115,82112,3,2000,8000000,60,spark,predict
118.50204396247864,110.51779127120972,7.265061616897583,82539,3,2000,10000000,80,spark,predict

136.60014009475708,132.61001300811768,3.648824691772461,186150,3,2000,10000000,80,spark,clustering
202.42685437202454,194.71066522598267,7.19084620475769,144012,3,2000,12000000,100,spark,clustering
84.55060601234436,80.6980209350586,3.537541151046753,185345,3,2000,10000000,60,spark,clustering
81.34112763404846,78.87924933433533,2.359107732772827,144016,3,2000,8000000,60,spark,clustering
125.46900153160095,122.75580215454102,2.537013292312622,144020,3,2000,10000000,100,spark,clustering
-----------------------------------------------------------------------------